Date	State
9-24-16	ON
9-24-16	CA
9-24-16	WA
9-24-16	CA
9-24-16	TX
9-24-16	CA
9-24-16	NY
9-24-16	FL
9-24-16	OH
9-23-16	FL
9-23-16	GA
9-23-16	IN
9-23-16	VA
9-23-16	FL
9-23-16	VA
9-23-16	MI
9-23-16	CO
9-23-16	NV
9-22-16	CA
9-22-16	GA
9-22-16	PA
9-22-16	TN
9-22-16	OR
9-22-16	CA
9-22-16	MA
9-22-16	RI
9-22-16	OH
9-22-16	ON
9-22-16	GA
9-22-16	NJ
9-22-16	VA
9-22-16	SC
9-21-16	TN
9-21-16	NC
9-21-16	MA
9-21-16	MA
9-21-16	MA
9-21-16	NH
9-21-16	MA
9-21-16	NY
9-21-16	NY
9-21-16	NY
9-21-16	WA
9-21-16	TX
9-21-16	TN
9-21-16	OR
9-21-16	KY
9-21-16	GA
9-21-16	CA
9-21-16	CA
9-21-16	IN
9-21-16	SD
9-20-16	TX
9-20-16	IL
9-20-16	KY
9-20-16	UT
9-20-16	CA
9-20-16	ID
9-20-16	NY
9-20-16	UT
9-20-16	PA
9-20-16	PA
9-20-16	MI
9-20-16	NY
9-20-16	PA
9-20-16	BC
9-20-16	FL
9-20-16	ON
9-20-16	AR
9-20-16	MD
9-20-16	GA
9-20-16	OH
9-20-16	FL
9-20-16	NY
9-20-16	IL
9-20-16	NM
9-19-16	WI
9-19-16	MS
9-19-16	IL
9-19-16	OR
9-19-16	CO
9-19-16	NC
9-19-16	WI
9-19-16	GA
9-19-16	MA
9-19-16	NM
9-19-16	TN
9-19-16	CA
9-19-16	CA
9-18-16	NV
9-18-16	IL
9-18-16	ON
9-18-16	MI
9-18-16	MO
9-18-16	IN
9-18-16	CA
9-18-16	CA
9-18-16	CO
9-18-16	OK
9-18-16	CO
9-18-16	NJ
9-18-16	AK
9-18-16	PA
9-18-16	OK
9-18-16	MA
9-17-16	CT
9-17-16	FL
9-17-16	NY
9-17-16	IN
9-17-16	NV
9-17-16	MD
9-17-16	NM
9-17-16	NM
9-17-16	CO
9-17-16	CO
9-17-16	HI
9-17-16	UT
9-17-16	OK
9-17-16	UT
9-17-16	AL
9-16-16	CA
9-16-16	IN
9-16-16	ON
9-16-16	MD
9-16-16	OH
9-16-16	CA
9-16-16	NC
9-16-16	TX
9-16-16	MI
9-16-16	CA
9-16-16	ME
9-16-16	MA
9-16-16	WA
9-16-16	CA
9-16-16	ME
9-16-16	NY
9-16-16	CA
9-16-16	ME
9-16-16	CA
9-16-16	SC
9-16-16	CA
9-16-16	NC
9-16-16	MO
9-15-16	AZ
9-15-16	MA
9-15-16	MT
9-15-16	OR
9-15-16	ID
9-15-16	MA
9-15-16	MT
9-15-16	DE
9-15-16	MI
9-15-16	AB
9-15-16	MT
9-15-16	FL
9-15-16	TX
9-15-16	MI
9-15-16	CA
9-15-16	WA
9-15-16	MD
9-15-16	ME
9-15-16	NJ
9-15-16	PA
9-15-16	MA
9-15-16	GA
9-15-16	MI
9-15-16	VA
9-15-16	ON
9-15-16	TN
9-15-16	CA
9-15-16	FL
9-15-16	CA
9-14-16	MI
9-14-16	FL
9-14-16	VA
9-14-16	OH
9-14-16	PA
9-14-16	OH
9-14-16	NJ
9-14-16	OH
9-14-16	NJ
9-14-16	MO
9-14-16	HI
9-14-16	TX
9-14-16	NC
9-14-16	CA
9-14-16	ME
9-14-16	OR
9-14-16	MT
9-13-16	OH
9-13-16	PA
9-13-16	MS
9-13-16	NY
9-13-16	OH
9-13-16	OH
9-13-16	NC
9-13-16	WA
9-13-16	TX
9-13-16	NC
9-13-16	NC
9-13-16	AR
9-13-16	OH
9-13-16	NC
9-13-16	OR
9-13-16	OR
9-13-16	MO
9-13-16	CA
9-13-16	NC
9-13-16	VA
9-13-16	SK
9-13-16	MA
12-9-16	VT
12-9-16	ME
12-9-16	MI
12-9-16	MI
12-9-16	GA
12-9-16	FL
12-9-16	CO
12-9-16	AK
11-9-16	CA
11-9-16	KY
11-9-16	ID
11-9-16	IL
11-9-16	PA
11-9-16	OH
11-9-16	TX
11-9-16	ME
11-9-16	MA
11-9-16	CA
11-9-16	GA
11-9-16	CO
11-9-16	SK
11-9-16	PA
11-9-16	MS
11-9-16	NC
11-9-16	NY
11-9-16	WI
11-9-16	MS
11-9-16	ON
11-9-16	NY
10-9-16	ON
10-9-16	KS
10-9-16	MB
10-9-16	CA
10-9-16	WY
10-9-16	NY
10-9-16	AK
10-9-16	OH
10-9-16	KS
10-9-16	NY
10-9-16	WA
10-9-16	NY
10-9-16	TX
10-9-16	AZ
10-9-16	AR
10-9-16	SC
10-9-16	AB
10-9-16	SC
10-9-16	SC
9-9-16	PA
9-9-16	MN
9-9-16	TX
9-9-16	OH
9-9-16	OR
9-9-16	WI
9-9-16	WA
9-9-16	AR
9-9-16	NM
9-9-16	WA
9-9-16	SC
9-9-16	OR
9-9-16	KS
9-9-16	MN
9-9-16	NM
8-9-16	WA
8-9-16	MN
8-9-16	GA
8-9-16	NM
8-9-16	NC
8-9-16	NC
8-9-16	NC
8-9-16	NC
8-9-16	NC
8-9-16	NC
8-9-16	NC
8-9-16	CA
8-9-16	CA
8-9-16	NV
8-9-16	IN
8-9-16	FL
8-9-16	OH
8-9-16	OK
8-9-16	IA
7-9-16	SC
7-9-16	NJ
7-9-16	NC
7-9-16	NY
7-9-16	NJ
7-9-16	OH
7-9-16	OH
7-9-16	OH
7-9-16	OR
7-9-16	NY
7-9-16	RI
7-9-16	CA
7-9-16	IL
7-9-16	CA
7-9-16	IL
7-9-16	GA
7-9-16	GA
7-9-16	GA
6-9-16	IL
6-9-16	NY
6-9-16	VT
6-9-16	TX
6-9-16	NY
6-9-16	CA
6-9-16	MD
